User Name,Course Title,Progress (%),Is Certified
David Johnson,Data Analysis with Pandas,100,True
David Johnson,Data Cleaning & Preprocessing,100,True
David Johnson,Data Visualization with Matplotlib,100,False
David Johnson,Data Analysis for Business Decisions,100,True
David Johnson,Data Ethics,100,False
David Johnson,Brand Management Online,100,True
David Johnson,Financial Analysis Techniques,100,False
David Johnson,Agile Project Management,100,True
David Johnson,Content Management Systems (CMS),100,True
David Johnson,Wireframing and Prototyping,100,True
Victoria Todd,Data Analysis for Business Decisions,100,True
Victoria Todd,Data Ethics,100,True
Victoria Todd,Data Visualization with Matplotlib,100,True
Victoria Todd,Data Analysis with Pandas,100,False
Victoria Todd,Data Cleaning & Preprocessing,100,True
Victoria Todd,Time Series Analysis,100,True
Victoria Todd,Training and Development,100,True
Victoria Todd,Introduction to AI,100,True
Victoria Todd,Risk Management in Projects,100,True
Victoria Todd,Presentation Skills for Business Analysts,100,True
Victoria Todd,Container Orchestration with Kubernetes,100,True
Adam Frazier,Data Analysis with Pandas,100,True
Adam Frazier,Data Analysis for Business Decisions,100,True
Adam Frazier,Data Visualization with Matplotlib,100,False
Adam Frazier,Data Cleaning & Preprocessing,100,False
Adam Frazier,Introduction to Game Development,100,True
Adam Frazier,Deep Learning with TensorFlow,100,True
Adam Frazier,Microservices in Cloud,100,True
Adam Frazier,ITIL Foundations,100,False
Adam Frazier,AI in Healthcare,100,False
Adam Frazier,Budgeting Basics,100,False
Adam Frazier,Network Security Fundamentals,100,True
Adam Frazier,SWOT Analysis for Business,100,True
Adam Frazier,Communication Skills for Project Managers,100,True
Jason Jennings,Data Analysis with Pandas,100,False
Jason Jennings,Data Ethics,100,False
Jason Jennings,Data Cleaning & Preprocessing,100,False
Jason Jennings,Data Analysis for Business Decisions,100,True
Jason Jennings,Data Visualization with Matplotlib,100,True
Jason Jennings,Web Application Security,100,True
Jason Jennings,Financial Reporting Standards,100,True
Jason Jennings,Ethereum Development,100,False
Jason Jennings,Model Evaluation,100,True
Jason Jennings,AWS Fundamentals,100,True
Jason Jennings,Content Management Systems (CMS),100,True
Jason Jennings,Risk Analysis and Management,100,True
Jason Jennings,Understanding Consumer Behavior,100,False
Jason Jennings,Business Case Development,100,False
Jason Jennings,Social Media Content Creation,100,True
Brittney Smith,Data Analysis for Business Decisions,100,True
Brittney Smith,Data Cleaning & Preprocessing,100,True
Brittney Smith,Data Analysis with Pandas,100,False
Brittney Smith,Data Ethics,100,True
Brittney Smith,Data Visualization with Matplotlib,100,False
Brittney Smith,Monitoring and Logging,100,True
Brittney Smith,Malware Analysis,100,True
Brittney Smith,Customer Service Skills for IT,100,True
Brittney Smith,Web Performance Optimization,100,True
Brittney Smith,Time Management for Sales,100,True
Brittney Smith,Conflict Resolution in HR,100,True
Brittney Smith,Financial Analysis Techniques,100,True
Brittney Smith,Ethical Hacking Basics,100,True
Brittney Smith,Personal Finance Skills,100,True
Brittney Smith,Closing Sales Strategies,100,False
William Johnson,Data Cleaning & Preprocessing,100,False
William Johnson,Data Analysis with Pandas,100,True
William Johnson,Data Ethics,100,False
William Johnson,Data Analysis for Business Decisions,100,True
William Johnson,Virtual Reality Development,100,True
William Johnson,Content Promotion Strategies,100,True
William Johnson,Mobile Testing Strategies,100,False
William Johnson,Risk Management in Projects,100,True
William Johnson,Business Process Modeling,100,False
William Johnson,Deployment of ML Models,100,True
William Johnson,Frontend Development Basics,100,True
William Johnson,Blogging for Beginners,100,False
William Johnson,Container Orchestration with Kubernetes,100,False
William Johnson,HTML & CSS,100,True
William Johnson,Project Management Basics,100,True
Amber Contreras,Data Visualization with Matplotlib,100,True
Amber Contreras,Data Analysis with Pandas,100,True
Amber Contreras,Data Analysis for Business Decisions,100,True
Amber Contreras,Data Ethics,100,False
Amber Contreras,Data Cleaning & Preprocessing,100,False
Amber Contreras,Ethical Hacking Basics,100,True
Amber Contreras,Consensus Algorithms,100,False
Amber Contreras,Sales Fundamentals,100,True
Amber Contreras,Introduction to Machine Learning,100,True
Amber Contreras,Backend Development Fundamentals,100,True
