User Name,Learning Path Title,Average Rating
David Johnson,Data Science,77.0
David Johnson,Business Analysis,89.0
David Johnson,Digital Marketing,79.0
David Johnson,Finance Basics,70.0
David Johnson,Project Management,79.0
David Johnson,Web Development,87.0
David Johnson,UI/UX Design,85.0
Victoria Todd,Business Analysis,92.0
Victoria Todd,Data Science,81.5
Victoria Todd,Machine Learning,78.0
Victoria Todd,Human Resources,78.0
Victoria Todd,Artificial Intelligence,79.0
Victoria Todd,Project Management,77.0
Victoria Todd,DevOps,93.0
Adam Frazier,Data Science,74.25
Adam Frazier,Business Analysis,86.5
Adam Frazier,Game Development,82.0
Adam Frazier,Cloud Computing,83.0
Adam Frazier,IT Support,68.0
Adam Frazier,Artificial Intelligence,69.0
Adam Frazier,Finance Basics,75.0
Adam Frazier,Cybersecurity,85.0
Adam Frazier,Project Management,79.0
Jason Jennings,Data Science,70.75
Jason Jennings,Business Analysis,84.67
Jason Jennings,Cybersecurity,95.0
Jason Jennings,Finance Basics,84.0
Jason Jennings,Blockchain Technology,73.0
Jason Jennings,Machine Learning,81.0
Jason Jennings,Cloud Computing,88.0
Jason Jennings,Web Development,91.0
Jason Jennings,Sales Skills,75.0
Jason Jennings,Content Creation,76.0
Brittney Smith,Business Analysis,79.0
Brittney Smith,Data Science,79.0
Brittney Smith,DevOps,86.0
Brittney Smith,Cybersecurity,88.5
Brittney Smith,IT Support,87.0
Brittney Smith,Web Development,85.0
Brittney Smith,Sales Skills,75.0
Brittney Smith,Human Resources,88.0
Brittney Smith,Finance Basics,82.0
William Johnson,Data Science,76.0
William Johnson,Business Analysis,80.5
William Johnson,Game Development,84.0
William Johnson,Content Creation,72.0
William Johnson,Mobile App Development,73.0
William Johnson,Project Management,87.5
William Johnson,Machine Learning,77.0
William Johnson,Web Development,80.0
William Johnson,DevOps,75.0
William Johnson,Full Stack Development,79.0
Amber Contreras,Data Science,77.0
Amber Contreras,Business Analysis,86.0
Amber Contreras,Cybersecurity,80.0
Amber Contreras,Blockchain Technology,74.0
Amber Contreras,Sales Skills,93.0
Amber Contreras,Machine Learning,88.0
Amber Contreras,Web Development,84.0
Amber Contreras,Game Development,77.0
Derek Gallegos,Data Science,85.0
