User Name,Course Title,Progress (%),Assignment Date
David Johnson,Data Analysis with Pandas,100,2024-10-09 08:41:27.914000
David Johnson,Data Cleaning & Preprocessing,100,2024-10-09 08:41:27.914000
David Johnson,Data Visualization with Matplotlib,100,2024-10-09 08:41:27.914000
David Johnson,Data Analysis for Business Decisions,100,2024-10-09 08:41:27.914000
David Johnson,Data Ethics,100,2024-10-09 08:41:27.914000
David Johnson,Brand Management Online,100,2024-10-09 08:41:27.914000
David Johnson,Financial Analysis Techniques,100,2024-10-09 08:41:27.914000
David Johnson,Agile Project Management,100,2024-10-09 08:41:27.914000
David Johnson,Content Management Systems (CMS),100,2024-10-09 08:41:27.914000
David Johnson,Wireframing and Prototyping,100,2024-10-09 08:41:27.914000
Victoria Todd,Data Analysis for Business Decisions,100,2024-10-09 08:41:27.914000
Victoria Todd,Data Ethics,100,2024-10-09 08:41:27.914000
Victoria Todd,Data Visualization with Matplotlib,100,2024-10-09 08:41:27.914000
Victoria Todd,Data Analysis with Pandas,100,2024-10-09 08:41:27.914000
Victoria Todd,Data Cleaning & Preprocessing,100,2024-10-09 08:41:27.914000
Victoria Todd,Time Series Analysis,100,2024-10-09 08:41:27.914000
Victoria Todd,Training and Development,100,2024-10-09 08:41:27.914000
Victoria Todd,Introduction to AI,100,2024-10-09 08:41:27.914000
Victoria Todd,Risk Management in Projects,100,2024-10-09 08:41:27.914000
Victoria Todd,Presentation Skills for Business Analysts,100,2024-10-09 08:41:27.914000
Victoria Todd,Container Orchestration with Kubernetes,100,2024-10-09 08:41:27.914000
Adam Frazier,Data Analysis with Pandas,100,2024-10-09 08:41:27.914000
Adam Frazier,Data Analysis for Business Decisions,100,2024-10-09 08:41:27.914000
Adam Frazier,Data Visualization with Matplotlib,100,2024-10-09 08:41:27.914000
Adam Frazier,Data Cleaning & Preprocessing,100,2024-10-09 08:41:27.914000
Adam Frazier,Introduction to Game Development,100,2024-10-09 08:41:27.914000
Adam Frazier,Deep Learning with TensorFlow,100,2024-10-09 08:41:27.914000
Adam Frazier,Microservices in Cloud,100,2024-10-09 08:41:27.914000
Adam Frazier,ITIL Foundations,100,2024-10-09 08:41:27.914000
Adam Frazier,AI in Healthcare,100,2024-10-09 08:41:27.914000
Adam Frazier,Budgeting Basics,100,2024-10-09 08:41:27.914000
Adam Frazier,Network Security Fundamentals,100,2024-10-09 08:41:27.914000
Adam Frazier,SWOT Analysis for Business,100,2024-10-09 08:41:27.914000
Adam Frazier,Communication Skills for Project Managers,100,2024-10-09 08:41:27.914000
Jason Jennings,Data Analysis with Pandas,100,2024-10-09 08:41:27.914000
Jason Jennings,Data Ethics,100,2024-10-09 08:41:27.914000
Jason Jennings,Data Cleaning & Preprocessing,100,2024-10-09 08:41:27.914000
Jason Jennings,Data Analysis for Business Decisions,100,2024-10-09 08:41:27.914000
Jason Jennings,Data Visualization with Matplotlib,100,2024-10-09 08:41:27.914000
Jason Jennings,Web Application Security,100,2024-10-09 08:41:27.914000
Jason Jennings,Financial Reporting Standards,100,2024-10-09 08:41:27.914000
Jason Jennings,Ethereum Development,100,2024-10-09 08:41:27.914000
