User Name,Course Title,Quiz Score,Engagement Score,Assignment Grade,Overall Rating
David Johnson,Data Analysis with Pandas,68.0,53,88,80
David Johnson,Data Cleaning & Preprocessing,86.0,71,72,82
David Johnson,Data Visualization with Matplotlib,72.0,76,64,75
David Johnson,Data Analysis for Business Decisions,93.0,96,78,89
David Johnson,Data Ethics,66.0,89,53,71
David Johnson,Brand Management Online,87.0,99,54,79
David Johnson,Financial Analysis Techniques,73.0,65,51,70
David Johnson,Agile Project Management,62.0,70,86,79
David Johnson,Content Management Systems (CMS),97.0,61,77,87
David Johnson,Wireframing and Prototyping,94.0,71,71,85
Victoria Todd,Data Analysis for Business Decisions,90.0,100,91,93
Victoria Todd,Data Ethics,55.0,61,100,80
Victoria Todd,Data Visualization with Matplotlib,85.0,63,99,91
Victoria Todd,Data Analysis with Pandas,60.0,99,54,70
Victoria Todd,Data Cleaning & Preprocessing,89.0,79,75,85
Victoria Todd,Time Series Analysis,75.0,75,68,78
Victoria Todd,Training and Development,84.0,70,63,78
Victoria Todd,Introduction to AI,62.0,88,81,79
Victoria Todd,Risk Management in Projects,82.0,79,58,77
Victoria Todd,Presentation Skills for Business Analysts,80.0,100,93,91
Victoria Todd,Container Orchestration with Kubernetes,90.0,87,94,93
Adam Frazier,Data Analysis with Pandas,96.0,76,59,82
Adam Frazier,Data Analysis for Business Decisions,71.0,80,88,84
Adam Frazier,Data Visualization with Matplotlib,58.0,59,56,66
Adam Frazier,Data Cleaning & Preprocessing,61.0,50,71,71
Adam Frazier,Introduction to Game Development,93.0,99,56,82
Adam Frazier,Deep Learning with TensorFlow,62.0,59,88,78
Adam Frazier,Microservices in Cloud,95.0,96,58,83
Adam Frazier,ITIL Foundations,66.0,71,50,68
Adam Frazier,AI in Healthcare,60.0,69,60,69
Adam Frazier,Budgeting Basics,67.0,69,71,75
Adam Frazier,Network Security Fundamentals,84.0,92,76,85
Adam Frazier,SWOT Analysis for Business,71.0,89,100,89
Adam Frazier,Communication Skills for Project Managers,88.0,89,56,79
